value,timestamp
426,1474718921354
425,1474718936355
424,1474718941404
425,1474718966374
424,1474718971375
423,1474718986375
424,1474719016379
423,1474719046434
424,1474719056429
423,1474719061423
424,1474719066444
425,1474719076441
426,1474719086427
427,1474719096426
427,1474719101433
426,1474719106426
425,1474719111433
424,1474719116438
423,1474719121437
422,1474719131455
420,1474719136432
419,1474719146438
418,1474719151508
417,1474719156444
416,1474719171445
415,1474719176460
413,1474719181454
412,1474719186439
411,1474719191440
409,1474719196441
408,1474719206441
409,1474719216442
410,1474719226447
411,1474719231447
410,1474719241443
409,1474719246443
408,1474719251449
407,1474719261482
406,1474719281507
405,1474719301502
406,1474719316507
405,1474719321511
404,1474719331514
403,1474719341517
402,1474719351517
400,1474719361608
399,1474719371549
398,1474719391547
397,1474719401522
396,1474719416532
397,1474719426533
398,1474719446538
397,1474719451546
398,1474719481628
399,1474719491631
401,1474719496636
402,1474719506638
401,1474719526641
399,1474719536639
398,1474719541647
397,1474719546644
396,1474719551646
394,1474719556644
393,1474719561647
391,1474719566664
389,1474719571698
388,1474719576678
386,1474719581714
385,1474719586663
384,1474719591758
383,1474719601740
382,1474719621727
383,1474719626735
384,1474719641736
383,1474719656737
384,1474719661735
383,1474719686733
384,1474719696740
385,1474719721738
386,1474719736744
387,1474719766836
386,1474719771838
387,1474719776836
386,1474719796864
385,1474719801870
384,1474719806865
385,1474719841895
386,1474719851892
387,1474719866883
388,1474719871885
389,1474719876885
390,1474719881890
391,1474719886883
392,1474719946947
393,1474719951950
392,1474719971970
391,1474719986965
392,1474720001964
393,1474720017021
394,1474720022051
395,1474720032018
394,1474720037019
393,1474720047024
394,1474720077025
395,1474720082027
396,1474720092042
397,1474720097129
398,1474720127240
399,1474720137118
400,1474720142118
401,1474720152122
402,1474720157117
403,1474720167124
404,1474720172127
405,1474720182122
406,1474720187124
407,1474720197143
408,1474720202139
409,1474720217125
410,1474720232187
411,1474720237193
410,1474720272250
409,1474720277189
410,1474720302195
411,1474720312195
410,1474720332200
409,1474720337206
408,1474720347207
407,1474720352204
406,1474720362204
405,1474720367218
404,1474720377218
403,1474720382219
402,1474720387217
401,1474720397222
400,1474720402226
399,1474720417225
397,1474720422222
396,1474720427219
395,1474720432224
394,1474720437218
393,1474720442219
392,1474720447222
391,1474720452219
390,1474720467230
389,1474720487220
388,1474720527224
387,1474720537282
388,1474720547238
389,1474720557225
390,1474720577274
389,1474720587310
388,1474720592310
387,1474720597311
386,1474720602471
385,1474720607464
384,1474720612456
383,1474720622442
382,1474720632437
381,1474720637437
380,1474720642525
378,1474720647522
376,1474720652513
375,1474720662518
374,1474720667501
373,1474720677498
371,1474720682552
370,1474720687536
368,1474720692536
365,1474720697539
364,1474720702538
362,1474720707533
360,1474720712539
358,1474720717534
356,1474720722532
354,1474720727536
353,1474720732535
351,1474720737536
349,1474720742533
348,1474720747539
347,1474720752565
346,1474720757574
344,1474720767588
343,1474720772554
342,1474720782552
343,1474720837652
342,1474720857712
343,1474720892674
344,1474720907714
345,1474720917709
346,1474720922745
347,1474720927719
348,1474720937798
349,1474720952792
350,1474720962783
349,1474720977779
348,1474720982785
347,1474720997810
346,1474721007795
347,1474721027837
348,1474721052830
349,1474721057817
350,1474721067814
351,1474721072850
352,1474721077828
353,1474721097886
354,1474721117854
353,1474721167979
352,1474721177993
353,1474721182959
354,1474721197957
355,1474721218027
356,1474721228005
357,1474721232997
358,1474721237999
359,1474721242994
360,1474721247989
361,1474721252993
362,1474721258039
363,1474721263024
364,1474721268022
365,1474721273011
366,1474721278017
367,1474721298016
366,1474721313020
367,1474721343026
368,1474721353022
369,1474721358021
370,1474721363092
371,1474721393079
372,1474721413087
373,1474721428161
374,1474721433183
375,1474721438184
376,1474721443176
377,1474721463250
378,1474721473228
377,1474721478211
376,1474721508197
375,1474721533198
374,1474721538248
373,1474721553374
374,1474721593461
375,1474721598439
376,1474721603446
377,1474721608463
378,1474721613484
380,1474721623481
381,1474721628560
382,1474721633493
383,1474721638493
384,1474721643496
382,1474721673538
381,1474721693533
380,1474721703543
381,1474721718537
380,1474721723538
381,1474721738545
382,1474721743673
384,1474721753981
385,1474721764077
386,1474721768944
387,1474721778913
388,1474721783912
389,1474721793921
390,1474721803907
391,1474721813903
390,1474721848908
389,1474721853907
387,1474721858907
386,1474721863907
384,1474721868911
382,1474721873908
381,1474721878907
380,1474721883908
379,1474721888909
378,1474721893915
376,1474721898911
375,1474721903931
373,1474721914039
371,1474721918933
370,1474721923932
369,1474721928933
367,1474721933942
366,1474721943972
365,1474721953937
364,1474721963938
363,1474721968938
362,1474721973942
361,1474721978940
360,1474721988942
359,1474722003945
358,1474722013949
357,1474722018945
356,1474722023966
355,1474722033973
354,1474722039024
353,1474722043986
351,1474722054002
349,1474722063970
348,1474722068983
347,1474722078983
346,1474722083978
345,1474722088976
344,1474722108970
343,1474722169002
342,1474722189082
341,1474722194085
339,1474722199074
338,1474722204092
337,1474722219082
336,1474722229079
335,1474722234078
333,1474722244078
332,1474722249078
331,1474722259083
330,1474722269081
329,1474722279080
330,1474722304080
331,1474722314083
332,1474722329087
331,1474722374146
330,1474722379152
329,1474722389147
328,1474722399153
327,1474722409150
328,1474722444197
329,1474722449196
330,1474722459198
331,1474722489200
330,1474722504205
329,1474722535799
328,1474722555807
329,1474722565815
327,1474722581322
328,1474722611239
327,1474722636254
328,1474722656264
327,1474722661261
328,1474722676268
329,1474722686268
328,1474722717562
327,1474722752697
326,1474722762739
327,1474722777731
328,1474722792770
327,1474722802877
328,1474722807797
327,1474722832877
328,1474722837813
327,1474722852936
326,1474722867844
327,1474722897906
326,1474722922973
325,1474722932998
323,1474722937966
322,1474722942928
321,1474722952921
320,1474722957926
319,1474722968078
318,1474722973114
319,1474722987996
318,1474723004545
317,1474723051287
316,1474723066370
315,1474723071350
314,1474723076347
313,1474723088364
312,1474723098344
311,1474723108496
309,1474723113605
308,1474723123565
307,1474723128574
306,1474723138700
307,1474723180448
308,1474723195332
307,1474723247338
306,1474723257300
305,1474723262308
304,1474723267328
303,1474723277329
302,1474723282461
301,1474723292311
300,1474723297316
299,1474723307409
298,1474723324135
299,1474723329081
298,1474723334094
297,1474723339143
296,1474723349026
295,1474723379039
294,1474723400962
293,1474723404863
292,1474723436134
293,1474723462512
292,1474723467517
291,1474723477698
290,1474723482664
289,1474723497626
290,1474723561342
291,1474723571304
292,1474723582565
293,1474723587658
