value,timestamp
139.593,1474707413197
138.809,1474707414179
139.638,1474707415184
130.035,1474707416166
115.272,1474707417194
113.259,1474707418170
112.79,1474707419195
112.708,1474707420171
112.047,1474707421198
112.79,1474707422237
113.33,1474707423170
112.667,1474707424198
112.326,1474707425176
112.645,1474707426188
112.452,1474707427251
112.708,1474707428155
112.926,1474707429158
112.265,1474707430152
122.415,1474707431154
136.883,1474707432155
139.95,1474707433170
139.279,1474707434159
140.296,1474707435163
140.759,1474707436155
139.514,1474707437166
139.625,1474707438156
139.592,1474707439161
139.046,1474707440161
140.584,1474707441167
139.882,1474707442163
139.2,1474707443163
139.513,1474707444160
139.526,1474707445162
138.899,1474707446157
139.338,1474707447165
138.894,1474707448163
139.748,1474707449169
139.304,1474707450160
139.671,1474707451169
139.13,1474707452163
139.318,1474707453173
138.905,1474707454163
139.284,1474707455173
138.356,1474707456164
138.269,1474707457171
139.284,1474707458166
139.439,1474707459180
139.36,1474707460171
138.819,1474707461175
139.207,1474707462169
139.047,1474707463178
138.665,1474707464174
139.394,1474707465182
138.815,1474707466174
139.594,1474707467182
138.774,1474707468179
139.364,1474707469186
135.267,1474707470174
120.493,1474707471182
112.953,1474707472175
112.77,1474707473189
112.646,1474707474186
112.631,1474707475184
112.202,1474707476179
111.738,1474707477185
112.08,1474707478192
112.751,1474707479186
112.728,1474707480188
112.631,1474707481183
112.172,1474707482189
112.077,1474707483183
112.485,1474707484184
115.537,1474707485189
130.845,1474707486189
140.827,1474707487188
139.517,1474707488184
139.904,1474707489188
139.204,1474707490188
139.771,1474707491186
139.284,1474707492186
140.06,1474707493190
139.472,1474707494200
139.98,1474707495187
139.671,1474707496193
139.692,1474707497187
139.206,1474707498197
139.203,1474707499190
139.549,1474707500195
139.98,1474707501199
139.671,1474707502193
139.306,1474707503200
138.819,1474707504192
139.671,1474707505194
139.163,1474707506202
139.053,1474707507202
138.902,1474707508208
139.749,1474707509195
139.284,1474707510197
139.671,1474707511197
138.59,1474707512202
139.054,1474707513198
140.749,1474707514196
140.296,1474707515204
140.521,1474707516198
139.591,1474707517204
138.686,1474707518206
139.129,1474707519200
139.44,1474707520205
139.904,1474707521202
141.063,1474707522207
140.137,1474707523200
137.759,1474707524209
123.318,1474707525210
112.826,1474707526214
113.085,1474707527212
112.264,1474707528216
112.485,1474707529208
112.687,1474707530210
113.13,1474707531206
112.631,1474707532210
112.743,1474707533223
112.729,1474707534207
113.015,1474707535211
112.699,1474707536209
112.051,1474707537217
112.081,1474707538214
112.209,1474707539220
128.059,1474707540214
140.606,1474707541214
140.446,1474707542215
140.141,1474707543222
139.672,1474707544222
140.41,1474707545228
140.601,1474707546219
140.14,1474707547230
139.617,1474707548221
139.28,1474707549226
139.672,1474707550218
139.469,1474707551223
139.131,1474707552218
139.516,1474707553228
139.009,1474707554226
138.812,1474707555224
138.66,1474707556222
139.939,1474707557225
140.136,1474707558220
139.126,1474707559265
139.086,1474707560248
139.203,1474707561250
140.364,1474707562249
138.999,1474707563253
139.673,1474707564251
139.204,1474707565260
139.163,1474707566253
139.75,1474707567254
139.048,1474707568251
139.468,1474707569255
138.742,1474707570256
138.736,1474707571255
138.235,1474707572252
139.828,1474707573265
139.204,1474707574257
140.018,1474707575286
139.207,1474707576255
140.061,1474707577260
139.163,1474707578268
138.888,1474707579257
125.642,1474707580324
112.272,1474707581311
113.193,1474707582285
111.8,1474707583285
112.176,1474707584283
112.952,1474707585286
112.58,1474707586284
113.255,1474707587285
112.239,1474707588286
112.763,1474707589375
111.831,1474707590278
112.081,1474707591328
113.555,1474707592282
113.593,1474707593324
126.593,1474707594307
140.792,1474707595333
141.216,1474707596308
140.213,1474707597303
139.516,1474707598299
139.439,1474707599314
139.279,1474707600297
139.858,1474707601342
139.98,1474707602320
139.283,1474707603330
139.125,1474707604309
139.67,1474707605347
139.435,1474707606327
139.781,1474707607356
139.052,1474707608324
139.361,1474707609344
140.159,1474707610321
138.82,1474707611340
139.283,1474707612366
140.169,1474707613328
140.062,1474707614338
139.284,1474707615341
139.037,1474707616339
139.357,1474707617326
139.435,1474707618326
138.849,1474707619353
139.279,1474707620378
139.826,1474707621367
139.691,1474707622378
139.748,1474707623370
139.514,1474707624382
139.47,1474707625371
140.057,1474707626379
139.284,1474707627368
139.593,1474707628477
138.742,1474707629366
138.819,1474707630416
129.126,1474707631368
114.859,1474707632391
112.263,1474707633388
112.951,1474707634385
113.255,1474707635382
112.646,1474707636448
112.329,1474707637373
113.067,1474707638428
112.79,1474707639384
111.612,1474707640431
112.79,1474707641545
113.254,1474707642446
112.733,1474707643488
112.077,1474707644445
123.015,1474707645471
137.744,1474707646539
140.134,1474707647438
139.356,1474707648450
139.781,1474707649443
139.516,1474707650445
140.212,1474707651567
139.613,1474707652538
139.669,1474707653553
139.512,1474707654539
139.002,1474707655563
140.014,1474707656682
140.212,1474707657532
139.167,1474707658541
139.747,1474707659529
139.904,1474707660559
139.779,1474707661539
139.515,1474707662545
139.283,1474707663533
140.079,1474707664546
139.205,1474707665533
139.825,1474707666548
139.313,1474707667531
139.979,1474707668541
139.361,1474707669534
138.735,1474707670545
139.206,1474707671539
138.418,1474707672536
138.774,1474707673534
139.202,1474707674538
139.511,1474707675530
139.612,1474707676556
139.283,1474707677532
139.746,1474707678540
139.202,1474707679538
139.512,1474707680542
140.797,1474707681556
140.136,1474707682543
131.773,1474707683543
117.344,1474707684539
112.016,1474707685540
112.488,1474707686617
112.518,1474707687578
112.546,1474707688593
112.263,1474707689577
112.581,1474707690591
112.296,1474707691585
112.862,1474707692585
112.987,1474707693577
112.951,1474707694589
112.27,1474707695574
112.789,1474707696584
112.726,1474707697581
112.795,1474707698584
119.629,1474707699663
134.058,1474707700627
140.213,1474707701631
139.284,1474707702631
139.671,1474707703643
139.593,1474707704632
140.521,1474707705637
139.901,1474707706636
139.69,1474707707648
139.206,1474707708639
139.202,1474707709641
138.685,1474707710660
139.593,1474707711635
139.363,1474707712674
139.389,1474707713643
139.67,1474707714657
139.201,1474707715645
139.537,1474707716653
139.052,1474707717650
139.362,1474707718659
139.858,1474707719645
139.592,1474707720656
139.67,1474707721646
139.439,1474707722670
138.976,1474707723652
139.902,1474707724658
138.763,1474707725652
138.665,1474707726667
138.19,1474707727649
138.08,1474707728660
138.898,1474707729656
138.657,1474707730648
138.685,1474707731647
138.587,1474707732654
138.036,1474707733652
138.93,1474707734656
139.051,1474707735648
138.657,1474707736652
133.885,1474707737652
118.623,1474707738735
112.017,1474707739717
111.675,1474707740723
112.201,1474707741716
111.55,1474707742744
111.417,1474707743722
111.298,1474707744728
112.107,1474707745721
111.304,1474707746723
111.426,1474707747714
111.799,1474707748776
111.737,1474707749716
111.396,1474707750795
115.288,1474707751716
131.257,1474707752762
138.417,1474707753884
138.658,1474707754755
139.283,1474707755888
138.818,1474707756754
138.969,1474707757786
138.34,1474707758757
138.895,1474707759799
138.299,1474707760758
138.495,1474707761799
138.277,1474707762759
138.97,1474707763818
137.871,1474707764775
